run_id,t,x_m,segment,v_mps,a_mps2,limit_mps,power_w,energy_kwh,regen_kwh,event
W6_vector_01,273.0107694592989,3341.503267973856,3,20.0,0.0,20.0,76800.0,10.609984233325862,-0.0,CRUISE
W6_vector_01,273.2109328579917,3345.5065359477126,3,20.0,0.0,20.0,76800.0,10.614254385831309,-0.0,CRUISE
W6_vector_01,273.4110962566845,3349.5098039215686,3,20.0,0.0,20.0,76800.0,10.618524538336755,-0.0,CRUISE
W6_vector_01,273.6112596553773,3353.513071895425,3,20.0,0.0,20.0,76800.0,10.622794690842202,-0.0,CRUISE
W6_vector_01,273.81142305407013,3357.516339869281,3,20.0,0.0,20.0,76800.0,10.62706484334765,-0.0,CRUISE
W6_vector_01,274.0115864527629,3361.5196078431372,3,20.0,0.0,20.0,76800.0,10.631334995853097,-0.0,CRUISE
W6_vector_01,274.21174985145575,3365.5228758169933,3,20.0,0.0,20.0,76800.0,10.635605148358543,-0.0,CRUISE
W6_vector_01,274.4119132501486,3369.52614379085,3,20.0,0.0,20.0,76800.0,10.639875300863991,-0.0,CRUISE
W6_vector_01,274.61207664884137,3373.529411764706,3,20.0,0.0,20.0,76800.0,10.644145453369438,-0.0,CRUISE
W6_vector_01,274.81224004753415,3377.5326797385624,3,20.0,0.0,20.0,76800.0,10.648415605874883,-0.0,CRUISE
W6_vector_01,275.012403446227,3381.5359477124184,3,20.0,0.0,20.0,76800.0,10.652685758380331,-0.0,CRUISE
W6_vector_01,275.2125668449198,3385.5392156862745,3,20.0,0.0,20.0,76800.0,10.65695591088578,-0.0,CRUISE
W6_vector_01,275.4127302436126,3389.5424836601305,3,20.0,0.0,20.0,76800.0,10.661226063391224,-0.0,CRUISE
W6_vector_01,275.61289364230544,3393.545751633987,3,20.0,0.0,20.0,76800.0,10.665496215896672,-0.0,CRUISE
W6_vector_01,275.8130570409982,3397.549019607843,3,20.0,0.0,20.0,76800.0,10.669766368402119,-0.0,CRUISE
W6_vector_01,276.01322043969105,3401.5522875816996,3,20.0,0.0,20.0,76800.0,10.674036520907567,-0.0,CRUISE
W6_vector_01,276.21338383838383,3405.5555555555557,3,20.0,0.0,20.0,76800.0,10.678306673413012,-0.0,CRUISE
W6_vector_01,276.41354723707667,3409.5588235294117,3,20.0,0.0,20.0,76800.0,10.68257682591846,-0.0,CRUISE
W6_vector_01,276.61371063576945,3413.5620915032678,3,20.0,0.0,20.0,76800.0,10.686846978423906,-0.0,CRUISE
W6_vector_01,276.8138740344623,3417.5653594771243,3,20.0,0.0,20.0,76800.0,10.691117130929353,-0.0,CRUISE
W6_vector_01,277.01403743315507,3421.5686274509803,3,20.0,0.0,20.0,76800.0,10.6953872834348,-0.0,CRUISE
W6_vector_01,277.2142008318479,3425.571895424837,3,20.0,0.0,20.0,76800.0,10.699657435940248,-0.0,CRUISE
W6_vector_01,277.41436423054074,3429.575163398693,3,20.0,0.0,20.0,76800.0,10.703927588445696,-0.0,CRUISE
W6_vector_01,277.6145276292335,3433.578431372549,3,20.0,0.0,20.0,76800.0,10.70819774095114,-0.0,CRUISE
W6_vector_01,277.81469102792636,3437.581699346405,3,20.0,0.0,20.0,76800.0,10.712467893456589,-0.0,CRUISE
W6_vector_01,278.01485442661914,3441.5849673202615,3,20.0,0.0,20.0,76800.0,10.716738045962035,-0.0,CRUISE
W6_vector_01,278.215017825312,3445.5882352941176,3,20.0,0.0,20.0,76800.0,10.721008198467482,-0.0,CRUISE
